,overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7
Location_Washington DC,0.051621192653616504,0.04670214986432895,0.05686324676986056,0.05230056272757365,0.0466337569583027,0.05686324676986056,0.05230056272757365,0.05737704918032787,0.0,0.05686324676986056,0.05230056272757365,0.05737704918032787,0.07235984354628422,0.0,0.07190732312784444,0.05230056272757365,0.05737704918032787,0.07235984354628422,0.005635390250774866,0.0,0.07190732312784444,0.05230056272757365,0.05737704918032787,0.07267318317042074,0.005635390250774866,0.042801556420233464
Marketing_Date,1562352737.7220166,1561880874.1390107,1563116039.401305,1562193261.569017,1561896775.884886,1563116039.401305,1562193261.569017,1559398898.3606558,1561949932.998523,1563116039.401305,1562193261.569017,1559398898.3606558,1561867451.108214,1561949932.998523,1563154912.7016964,1562193261.569017,1559398898.3606558,1561867451.108214,1562983668.6390533,1562014803.3200123,1563154912.7016964,1562193261.569017,1559398898.3606558,1561900725.7458563,1562983668.6390533,1560840541.6342413
Offline_Spend,2830.9141410324237,2802.45251513254,2922.82205449661,2781.7334216043255,2803.8336309211218,2922.82205449661,2781.7334216043255,2586.8852459016393,2817.016248153619,2922.82205449661,2781.7334216043255,2586.8852459016393,2796.5612777053457,2817.016248153619,2960.0165494414564,2781.7334216043255,2586.8852459016393,2796.5612777053457,2796.167934629473,2819.428220104519,2960.0165494414564,2781.7334216043255,2586.8852459016393,2797.161070973226,2796.167934629473,2774.0596627756163
Online_Spend,1890.2582941576602,1878.3735827593407,1938.6094460790584,1861.1198576630254,1878.6636918390927,1938.6094460790584,1861.1198576630254,1833.092786885246,1856.3123825701625,1938.6094460790584,1861.1198576630254,1833.092786885246,1890.9940669817472,1856.3123825701625,1927.967247827886,1861.1198576630254,1833.092786885246,1890.9940669817472,1974.848095238095,1856.259509683369,1927.967247827886,1861.1198576630254,1833.092786885246,1892.7606519337016,1974.848095238095,1852.6077561608301
Product_Category_Android,0.0008124858287355453,0.0022437904404091005,0.0,0.0,0.00225816615901691,0.0,0.0,0.0,0.002658788774002954,0.0,0.0,0.0,0.0020371577574967406,0.002658788774002954,0.0,0.0,0.0,0.0020371577574967406,0.0,0.0027666769136181985,0.0,0.0,0.0,0.0021249468763280916,0.0,0.0
Product_Category_Apparel,0.34249111934094173,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Product_Category_Backpacks,0.0016816567152898496,0.00464412439991651,0.0,0.0,0.004673878794244302,0.0,0.0,0.0,0.005022156573116691,0.0,0.0,0.0,0.004481747066492829,0.005022156573116691,0.0,0.0,0.0,0.004481747066492829,0.0,0.00522594528127882,0.0,0.0,0.0,0.004674883127921802,0.0,0.0
Product_Category_Bags,0.0355604262716348,0.09820496764767273,0.0,0.0,0.09883415607604243,0.0,0.0,0.0,0.10797636632200887,0.0,0.0,0.0,0.09379074315514993,0.10797636632200887,0.0,0.0,0.0,0.09379074315514993,0.0,0.11235782354749461,0.0,0.0,0.0,0.09783255418614535,0.0,0.0
Product_Category_Bottles,0.005063865165142468,0.0139845543727823,0.0,0.0,0.014074151874803067,0.0,0.0,0.0,0.012555391432791729,0.0,0.0,0.0,0.014911994784876141,0.012555391432791729,0.0,0.0,0.0,0.014911994784876141,0.0,0.013064863203197049,0.0,0.0,0.0,0.015554611134721633,0.0,0.0
Product_Category_Drinkware,0.06581135212757917,0.18174702567313714,0.0,0.0,0.18291145888036972,0.0,0.0,0.0,0.18493353028064993,0.0,0.0,0.0,0.18179595827900913,0.18493353028064993,0.0,0.0,0.0,0.18179595827900913,0.0,0.19243774976944358,0.0,0.0,0.0,0.18963025924351892,0.0,0.0
Product_Category_Fun,0.003023203083667145,0.008348987685243165,0.0,0.0,0.008402478731225712,0.0,0.0,0.0,0.00827178729689808,0.0,0.0,0.0,0.00847457627118644,0.00827178729689808,0.0,0.0,0.0,0.00847457627118644,0.0,0.008607439286812173,0.0,0.0,0.0,0.008839779005524863,0.0,0.0
Product_Category_Gift Cards,0.003004308064394226,0.005948653725735754,0.0028783420749648203,0.0,0.00598676609599832,0.0028783420749648203,0.0,0.0,0.009158050221565732,0.0028783420749648203,0.0,0.0,0.00423728813559322,0.009158050221565732,0.003475382705833678,0.0,0.0,0.00423728813559322,0.0008453085376162299,0.009529664924684907,0.003475382705833678,0.0,0.0,0.004419889502762431,0.0008453085376162299,0.0
Product_Category_Google,0.001983977023656564,0.005479023168440827,0.0,0.0,0.005514126667366873,0.0,0.0,0.0,0.0048744460856720824,0.0,0.0,0.0,0.005867014341590613,0.0048744460856720824,0.0,0.0,0.0,0.005867014341590613,0.0,0.005072241008300031,0.0,0.0,0.0,0.006119847003824904,0.0,0.0
Product_Category_Headgear,0.014568059859421056,0.040231684408265495,0.0,0.0,0.0404894443860939,0.0,0.0,0.0,0.03899556868537666,0.0,0.0,0.0,0.0413135593220339,0.03899556868537666,0.0,0.0,0.0,0.0413135593220339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Product_Category_Housewares,0.0023051923512961985,0.006366103109997912,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Product_Category_Lifestyle,0.058423399591867584,0.16134418701732414,0.0,0.0,0.16237790148093686,0.0,0.0,0.0,0.1604135893648449,0.0,0.0,0.0,0.16346153846153846,0.1604135893648449,0.0,0.0,0.0,0.16346153846153846,0.0,0.16692284045496464,0.0,0.0,0.0,0.17050573735656607,0.0,0.0
Product_Category_More Bags,0.0008691708865543043,0.00240033395950741,0.0,0.0,0.002415712635227392,0.0,0.0,0.0,0.0025110782865583456,0.0,0.0,0.0,0.002363102998696219,0.0025110782865583456,0.0,0.0,0.0,0.002363102998696219,0.0,0.00261297264063941,0.0,0.0,0.0,0.0024649383765405863,0.0,0.0
Product_Category_Nest,0.04153125236187741,0.04899812147777082,0.08052961494179353,0.0,0.0493120470538809,0.08052961494179353,0.0,0.0,0.04579025110782865,0.08052961494179353,0.0,0.0,0.05125488917861799,0.04579025110782865,0.08316094331816301,0.0,0.0,0.05125488917861799,0.0715694561848408,0.04764832462342453,0.08316094331816301,0.0,0.0,0.05346366340841479,0.0715694561848408,0.0
Product_Category_Nest-Canada,0.005989721109515532,0.0,0.020276320839196622,0.0,0.0,0.020276320839196622,0.0,0.0,0.0,0.020276320839196622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08932093547478163,0.0,0.0,0.0,0.0,0.0,0.08932093547478163,0.0
Product_Category_Nest-USA,0.2647759050714232,0.0,0.896315722144045,0.0,0.0,0.896315722144045,0.0,0.0,0.0,0.896315722144045,0.0,0.0,0.0,0.0,0.9133636739760033,0.0,0.0,0.0,0.8382642998027613,0.0,0.9133636739760033,0.0,0.0,0.0,0.8382642998027613,0.0
Product_Category_Notebooks & Journals,0.014152369435416824,0.039083698601544564,0.0,0.0,0.039334103560550365,0.0,0.0,0.0,0.03840472673559823,0.0,0.0,0.0,0.039846805736636244,0.03840472673559823,0.0,0.0,0.0,0.039846805736636244,0.0,0.03996311097448509,0.0,0.0,0.0,0.04156396090097748,0.0,0.0
