,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26
Location_Washington DC,-0.02770297541325334,0.019173343421177567,0.04725656826658818,-0.030719137112177164,0.008164674490574793,-0.06105825375603778,0.01939243358938474,-0.1698574596261607,-0.5427579538679459,-0.18348327191718783,-0.28603941720276915,-0.06912491744095853,-0.021646901090590795,0.08552774405803935,-0.3232422088022081,0.16761115310417546,0.09201257360737475,0.007424543152445743,-0.1925306220607623,0.034663588561241784,0.09645621978010482,-0.19410130757784264,-0.05204618927576661,-0.03343272091493057,-0.024580886868661594,-0.03695479166416472
Marketing_Date,0.9391864381956533,-0.28377162711708637,0.012671456139526997,-0.05361718212835595,-0.035309057368254466,0.016821605786042238,0.0018325424355622399,0.01293239778104694,0.0037677219534901136,0.0196298514926847,-0.013009827486922445,-0.009855224335398274,-0.010414772445892586,-0.030602807559178758,-0.012451636356218914,-0.010086525793651492,0.007294540834664933,0.017481558943738974,-0.002401867436109413,-0.0012136412233598444,0.0060249289116108395,0.010408807273051728,-0.002054980934069099,0.0027810454595615054,-0.002489298044743142,-0.0027856656639710458
Offline_Spend,0.40590810095378055,0.6219331014223467,-0.36417524521348166,-0.012530816610109385,0.06784212360991419,0.0549510723336181,0.0279690006914878,-0.14752422566024181,-0.0799112162205267,-0.042471357960845835,0.07137167275506824,-0.06661150072489758,-0.08661746258476814,-0.10008389727179157,0.015485338956456944,-0.020083070506469396,-0.004278887666909135,-0.010193711005046117,0.040485323552145895,0.05467518717870603,-0.024020822532880244,0.06678119548557632,-0.025332549241975783,0.0257138447744256,-0.005221379785806018,0.006921772452085456
Online_Spend,0.3423154027036008,0.5404017322821173,-0.3855793682865746,-0.059713099889311776,0.0811594786159293,-0.10255647397219385,-0.03267421083123033,0.22704452649731033,0.06978232236500034,0.04505647018956769,-0.06821539329507102,0.03908296249769523,0.1336054238564715,0.09251702229415562,-0.019500947554815896,0.08441174688778687,0.04538986640729701,0.018980725434049335,-0.06226546072411871,-0.09232713743441483,0.0776628176427887,-0.12534991838553403,0.05407485120823131,-0.055655069678792586,0.04468963315320937,0.025386965479116393
Product_Category_Android,-0.01652946939216126,-0.010002274794759689,-0.0005750747110688356,0.01020886394111934,0.012571436033045065,0.011085852460429625,-0.03722007075231024,0.03652156598870959,0.019821605954858542,0.04856292040217894,0.006194009813627255,0.011494106637147759,-0.03245114307473428,0.012528598927873264,0.05880208614982687,0.0916262000540153,0.07821563579253604,-0.013449943755382943,-0.1605059049017699,0.016146199063661153,-0.035773063290893824,-0.1747694961159278,0.15682734092514358,-0.19739971026048103,-0.2084365576048935,0.2538486084490979
Product_Category_Apparel,-0.06336014971526409,-0.27523308494712573,-0.28625430211049097,-0.003612591767479065,0.7691038866033187,0.04722757347595944,0.014961802604719686,-0.14618582151415613,0.022523057387749554,-0.095747247702533,-0.11772001495099564,0.135628389467555,0.002601817719241931,0.06326547082571625,-0.008452235636134287,0.05643084271554873,-0.2242755517630387,0.09363974477746696,0.05756882086683779,-0.11905805089310804,0.04268213372792572,0.06799201346597439,-0.02038027897319209,0.008874577325211791,0.012832832531915948,0.002869632044454825
Product_Category_Backpacks,-0.015472266923398202,0.0025364909687141867,0.022481554507652525,-0.0510918244579866,-0.011543885864094265,0.021443405947709854,-0.013340045406070044,-0.027814025865505947,0.026484645334599884,-0.050346206731286015,0.017846954633212307,-0.02402011349419111,0.04016481145692064,0.07827384204197248,-0.029762642577979816,-0.12428585875495983,-0.05068620689747771,-0.12424861631356551,-0.16293560735077092,0.06774650024694412,-0.0758762356849472,-0.03416329287865816,-0.09137983938628609,-0.3106397649487209,0.16245706950875285,0.4201973352397634
Product_Category_Bags,-0.03884286145294435,-0.03491449375092202,-0.059639545237858,0.009327107660383483,-0.12030944503455455,0.038040887671807175,-0.008572289458292191,0.06776035993451995,0.011882477354683405,-0.002066642995316171,0.03249975528727077,0.11651956224718775,0.15715251170133526,-0.057265936173593796,0.1987246558480034,0.0378124949179907,-0.006945762094180145,-0.11855257233343004,-0.05585855077050686,0.6260868174823578,0.6247849830974411,0.0934607399345601,-0.2191641837915074,-0.04036946893071568,0.019892320438929644,-0.03570907469961114
Product_Category_Bottles,-0.022673905712902447,-0.030351325382533944,-0.04259503617248534,-0.0005649708438675399,-0.04350479650730861,-0.002292816967471545,-0.029774793877467794,0.017537208649815336,-0.042812931511900715,0.03106082555762677,0.042603266711881756,-0.02602837289087475,0.10398054095012699,-0.09348551679379916,-0.01545993352116703,-0.09089901119420517,-0.05252872591309035,0.006346162282061505,0.10434310222996537,0.05787258215706713,0.011318100871468699,-0.23037229666526401,0.36067499257343116,0.5766854001123886,0.14512600703635561,0.32875599934910177
Product_Category_Drinkware,-0.06380484855938023,-0.05245693479683567,-0.1771084048258133,0.023060395331773564,-0.2053187007222901,0.02719127134670627,-0.044092464879836556,0.06865103551544635,-0.1260346337706629,-0.09300946376414856,0.3165520151471073,0.22181898797192715,0.10891081850920133,0.05711790333013047,-0.03295233220294768,-0.259822414741294,0.36059630141344157,0.6003756286860052,-0.20715770570460548,-0.013163173765718577,-0.20027243917829662,0.07582708143135172,-0.12432937448104003,-0.032651113995899754,0.049054722110945886,-0.02393139055425086
